number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
40,0.523869154922885,2026-05-11 02:43:29.732561,2026-05-11 02:43:31.670742,0 days 00:00:01.938181,0.5875863384769455,2.3242339952421407,0.03223479275176887,2,39,133,5.4650899639421695,31.43289736106059,1.3280325872432648,0.6380070244296177,COMPLETE
41,0.5296827052897403,2026-05-11 02:43:31.671752,2026-05-11 02:43:33.697950,0 days 00:00:02.026198,0.7850524920973195,0.7841320288095948,0.03684744025718981,2,42,115,4.637492226490484,16.72296906519621,1.3231094623673896,0.6546215711427771,COMPLETE
42,0.5284788513108664,2026-05-11 02:43:33.698948,2026-05-11 02:43:35.604142,0 days 00:00:01.905194,0.7985632610083557,0.7322790034063748,0.028855167824282685,2,41,97,4.0264059701027985,17.050455686836752,1.3394972057785528,0.6627137823239792,COMPLETE
43,0.5276818930534476,2026-05-11 02:43:35.605136,2026-05-11 02:43:37.413841,0 days 00:00:01.808705,0.7829271136506827,0.8934797212622788,0.03649089066481812,2,37,128,4.687844411079562,18.768326424108363,1.2862088667274736,0.6882143998147904,COMPLETE
44,0.5261476040391703,2026-05-11 02:43:37.414841,2026-05-11 02:43:39.267981,0 days 00:00:01.853140,0.7634275419404458,0.6777647596109936,0.023296441692472074,2,40,154,6.38695990519937,15.93978424393763,1.310738114062035,0.6566221116619334,COMPLETE
45,0.5196866022632473,2026-05-11 02:43:39.268980,2026-05-11 02:43:40.682956,0 days 00:00:01.413976,0.786552952674678,1.0851049485514117,0.020387815733587687,2,23,173,14.753081849546188,24.310220222639472,1.2638945245785684,0.6751603534408389,PRUNED
46,0.5261781724136716,2026-05-11 02:43:40.683947,2026-05-11 02:43:41.820509,0 days 00:00:01.136562,0.7499407783599622,2.693497901719101,0.04650370347691831,2,35,100,5.449068810186251,18.812627665582,1.3345988849813766,0.6203420396447883,PRUNED
47,0.528481227234572,2026-05-11 02:43:41.821452,2026-05-11 02:43:43.683843,0 days 00:00:01.862391,0.7755126546154785,0.5519296725542813,0.04202785885153704,2,38,114,4.981769511954579,23.01427777258003,1.3124705559329863,0.7154525641508797,COMPLETE
48,0.4439436120308929,2026-05-11 02:43:43.684841,2026-05-11 02:43:44.752229,0 days 00:00:01.067388,0.7404974557983545,1.3843036121227081,0.03035561891515488,1,43,127,11.662161377299865,25.25954356851424,1.170245215454723,0.6385497701436799,PRUNED
49,0.5219228298470718,2026-05-11 02:43:44.753229,2026-05-11 02:43:45.967764,0 days 00:00:01.214535,0.7213129680620289,0.8411673852303808,0.033210573961473484,2,42,60,7.298833524957381,16.056067068573057,1.3496680122975815,0.6081716617631239,PRUNED
50,0.5210545143217852,2026-05-11 02:43:45.968759,2026-05-11 02:43:47.228245,0 days 00:00:01.259486,0.799847421206328,1.1201689411269051,0.035954215883171464,2,45,161,4.505045190546376,19.746748635937955,1.2336947617591563,0.5877245634778037,PRUNED
51,0.5367027682530034,2026-05-11 02:43:47.229247,2026-05-11 02:43:49.001399,0 days 00:00:01.772152,0.7862291244053873,0.6703752527486824,0.03943398186370403,2,43,118,4.686270805476325,17.68659810164857,1.321920956668891,0.6573280937410795,COMPLETE
52,0.5308069343483082,2026-05-11 02:43:49.002407,2026-05-11 02:43:50.801932,0 days 00:00:01.799525,0.7860968087644751,0.701136656059663,0.04009158382303895,2,40,106,5.75477665236053,17.651275241178475,1.297450693143356,0.662563569568902,COMPLETE
53,0.528153864155558,2026-05-11 02:43:50.803931,2026-05-11 02:43:52.578574,0 days 00:00:01.774643,0.7726414346877367,0.6599667916331419,0.039954541412101134,2,40,102,5.933755369329546,20.450433420247958,1.2831322969213275,0.675435521287812,COMPLETE
54,0.5298505940281107,2026-05-11 02:43:52.580133,2026-05-11 02:43:54.565559,0 days 00:00:01.985426,0.761783480394085,1.0145705384188262,0.049714964936085154,2,36,88,5.250153620856055,15.028838344945436,1.3014039790749836,0.6623884574979734,COMPLETE
55,0.524390482807766,2026-05-11 02:43:54.565559,2026-05-11 02:43:56.587895,0 days 00:00:02.022336,0.7879853917732588,0.5285480553427934,0.0463572081471201,2,44,109,4.000619708505143,21.965891303445346,1.072269074606198,0.7056709524486195,COMPLETE
56,0.5294423085886139,2026-05-11 02:43:56.590410,2026-05-11 02:43:58.365973,0 days 00:00:01.775563,0.7693903129895263,1.332112924699606,0.04266855381170517,2,38,152,6.2984943826215645,18.528784736421304,1.2596054142726794,0.6262912039214504,COMPLETE
57,0.5278424566242141,2026-05-11 02:43:58.366972,2026-05-11 02:43:59.633970,0 days 00:00:01.266998,0.613582865589186,0.8990906098210389,0.047245574680525246,2,40,123,5.666121039590484,17.58866229088311,1.046194194843738,0.6880427633670939,PRUNED
58,0.5282807728945406,2026-05-11 02:43:59.636483,2026-05-11 02:44:01.474193,0 days 00:00:01.837710,0.6883226673660385,1.1974334375533067,0.04495610621269888,2,41,68,4.369866660593078,20.90049611865679,1.2768698853994989,0.6684305471925147,COMPLETE
59,0.5225091105747754,2026-05-11 02:44:01.475413,2026-05-11 02:44:02.686055,0 days 00:00:01.210642,0.7926033235371934,0.6480134254628367,0.040252994556920774,2,48,144,8.308876595168528,25.629976659805795,1.2158803583931403,0.6470151411546576,PRUNED
60,0.527585140927807,2026-05-11 02:44:02.687053,2026-05-11 02:44:04.295378,0 days 00:00:01.608325,0.7770728868897411,0.9729755288896474,0.02701825566011786,2,46,138,6.712967763121742,22.76397102784919,1.0953089857065217,0.6850675343504034,PRUNED
61,0.5309712023893985,2026-05-11 02:44:04.296378,2026-05-11 02:44:06.104007,0 days 00:00:01.807629,0.7586976224271498,1.0491040031433594,0.048842268539208235,2,37,89,5.319707086079756,15.013634484614137,1.2960865605880865,0.6655447730331251,COMPLETE
62,0.5323517144635411,2026-05-11 02:44:06.105996,2026-05-11 02:44:07.893877,0 days 00:00:01.787881,0.7524451751527234,1.1738778866128656,0.04312400002878794,2,37,93,5.109002240170302,15.852057430755387,1.2934842269561073,0.6613562032127274,COMPLETE
63,0.5288389193456126,2026-05-11 02:44:07.895879,2026-05-11 02:44:09.940956,0 days 00:00:02.045077,0.7556661760697414,1.1807383168495875,0.049950208660708616,2,34,80,5.298847983646227,15.726106669372513,1.3095814066489222,0.6748400697890479,COMPLETE
64,0.5279902911166863,2026-05-11 02:44:09.941957,2026-05-11 02:44:11.366199,0 days 00:00:01.424242,0.7375440288757786,1.5922412063942333,0.043457110447757547,2,36,95,4.856658076257613,19.505599869783342,1.2909261393148663,0.6378001564844193,PRUNED
65,0.526116297963524,2026-05-11 02:44:11.367199,2026-05-11 02:44:13.227573,0 days 00:00:01.860374,0.7487552976698802,1.4443452447896359,0.04512861061762687,2,38,89,6.064464289015932,18.1299206695292,1.3311812277986577,0.6518898514319064,COMPLETE
66,0.5291380655010467,2026-05-11 02:44:13.228570,2026-05-11 02:44:14.416550,0 days 00:00:01.187980,0.7671405208418202,1.273899049011714,0.047655218800502164,2,37,77,4.293401998810586,15.000611636019313,1.1197648117884038,0.7041493018884852,PRUNED
67,0.524495737489321,2026-05-11 02:44:14.417550,2026-05-11 02:44:16.251519,0 days 00:00:01.833969,0.7259009761478067,1.054838364787061,0.045606976974336785,2,31,172,4.955869218223189,16.336764163001536,1.2493000320789138,0.6796176681905819,COMPLETE
68,0.5289972226494276,2026-05-11 02:44:16.253518,2026-05-11 02:44:17.454323,0 days 00:00:01.200805,0.7780298928389074,0.8962397456675743,0.043394626819434005,2,39,67,5.204683166210797,39.5960408553807,1.2716341207708108,0.6448122091126361,PRUNED
69,0.5318103865546355,2026-05-11 02:44:17.455323,2026-05-11 02:44:19.555859,0 days 00:00:02.100536,0.7574958186869187,1.1569420625668305,0.04820283842648329,2,34,85,4.337729906722574,27.66129887964332,1.1815136649842042,0.6900356382637937,COMPLETE
70,0.5286408249548502,2026-05-11 02:44:19.557859,2026-05-11 02:44:21.094385,0 days 00:00:01.536526,0.7910729670252699,1.8543491994741497,0.04758817865991534,2,32,163,4.323014171173346,28.543784753127902,1.144220195986099,0.7325871493883698,PRUNED
