number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
31,0.5889967637540453,2026-05-10 20:33:19.618776,2026-05-10 20:33:20.536774,0 days 00:00:00.917998,0.7324717969305918,2.604288564522514,0.005251319853070699,5,10,650,7.898120072245469,9.503252177856265,0.9076285266160744,COMPLETE
32,0.5861513687600645,2026-05-10 20:33:20.536774,2026-05-10 20:33:21.542283,0 days 00:00:01.005509,0.7869524756558148,2.516875361659223,0.006621567076832467,5,9,498,8.721448910048487,9.487382745196946,0.8976251929113145,COMPLETE
33,0.5878378378378378,2026-05-10 20:33:21.542283,2026-05-10 20:33:24.785415,0 days 00:00:03.243132,0.7529552828907533,1.0342327987228517,0.005033714636704924,6,8,904,8.668339688416452,9.899663208677165,0.9480835074724491,COMPLETE
34,0.5886178861788618,2026-05-10 20:33:24.785925,2026-05-10 20:33:27.419989,0 days 00:00:02.634064,0.7229427923648626,2.170004357031939,0.009544334988943233,4,10,735,4.969631642196346,9.018167199758965,0.9258369427449251,COMPLETE
35,0.5827067669172933,2026-05-10 20:33:27.420502,2026-05-10 20:33:30.127763,0 days 00:00:02.707261,0.741262535051672,1.8067309124648219,0.09844640996658127,5,8,829,7.388356730207766,5.779522404843638,0.8691534517045842,COMPLETE
36,0.5895765472312704,2026-05-10 20:33:30.127763,2026-05-10 20:33:31.607085,0 days 00:00:01.479322,0.8134754515977399,2.6847924253290554,0.007798451184385214,6,9,945,6.292662273570927,9.404495900395967,0.9583800747267224,COMPLETE
37,0.5782747603833865,2026-05-10 20:33:31.607085,2026-05-10 20:33:33.697717,0 days 00:00:02.090632,0.7817509120209712,0.6220563999388,0.006067893296660946,12,6,393,9.373984788379463,8.181111439562946,0.9787985273961146,COMPLETE
38,0.5865384615384616,2026-05-10 20:33:33.697717,2026-05-10 20:33:35.025966,0 days 00:00:01.328249,0.763046258694375,3.227591350162654,0.011602867400651569,7,7,598,5.483025831001551,4.416285617737937,0.8429340572865298,COMPLETE
39,0.5890652557319224,2026-05-10 20:33:35.026970,2026-05-10 20:33:35.580521,0 days 00:00:00.553551,0.7162090293497594,2.3364326716378807,0.0600137174008026,10,5,478,8.935406302030048,7.3516947123971,0.9847668551991705,COMPLETE
40,0.5778546712802768,2026-05-10 20:33:35.580521,2026-05-10 20:33:36.248385,0 days 00:00:00.667864,0.8372816334340968,3.857888778593826,0.00868031746536768,4,10,725,7.875579881080762,8.93884540213318,0.9436131699167541,COMPLETE
41,0.5854430379746836,2026-05-10 20:33:36.248385,2026-05-10 20:33:37.674492,0 days 00:00:01.426107,0.8055173662238988,2.6458398036403996,0.007803684614689902,6,9,937,6.236940310342666,9.277859258853063,0.9616061656888037,COMPLETE
42,0.5865384615384616,2026-05-10 20:33:37.675031,2026-05-10 20:33:39.656966,0 days 00:00:01.981935,0.7565324963299431,2.7674379916199583,0.006121893707300423,7,9,1001,4.431102683462235,9.479477115768102,0.9223224702487735,COMPLETE
43,0.5921052631578947,2026-05-10 20:33:39.656966,2026-05-10 20:33:41.133330,0 days 00:00:01.476364,0.868471777250343,2.227896345588926,0.007082050191513433,6,8,644,5.771301242956223,8.397490489411187,0.9560531988012078,COMPLETE
44,0.5854430379746836,2026-05-10 20:33:41.134331,2026-05-10 20:33:42.773364,0 days 00:00:01.639033,0.8693999728831401,2.240830659662099,0.005640576212954132,5,8,630,5.535966774234808,8.488341521073172,0.8993326907023033,COMPLETE
45,0.591869918699187,2026-05-10 20:33:42.773364,2026-05-10 20:33:45.468368,0 days 00:00:02.695004,0.773677664797282,1.7495963681312074,0.0066255957086246665,6,8,677,7.09083992514192,7.813639239385038,0.9430251937061661,COMPLETE
46,0.5893719806763285,2026-05-10 20:33:45.468368,2026-05-10 20:33:47.235680,0 days 00:00:01.767312,0.7723270822751809,1.6150941289968765,0.006680693731677253,6,7,419,7.124687810099804,6.352846385644755,0.9390328186548318,COMPLETE
47,0.5799011532125206,2026-05-10 20:33:47.235680,2026-05-10 20:33:49.873687,0 days 00:00:02.638007,0.8452477060974415,0.008738207376621343,0.010484892163984535,7,8,700,3.614527589579203,7.859326941977043,0.973663212121053,COMPLETE
48,0.5977382875605816,2026-05-10 20:33:49.873687,2026-05-10 20:33:50.891006,0 days 00:00:01.017319,0.9154341533820782,2.0164486580643217,0.017982913998092338,6,6,573,5.855490313430048,5.687607864816742,0.9998006379428103,COMPLETE
49,0.5869947275922671,2026-05-10 20:33:50.891006,2026-05-10 20:33:51.830579,0 days 00:00:00.939573,0.9204276448905457,1.8161052394785437,0.03848978209400197,9,4,575,5.7738921456715175,5.94160025511405,0.9994628122034915,COMPLETE
